公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,风险限定字数句子统计,风险所有句子统计,是否检测到风险章节,文档名称
格力地产股份有限公司,,2018-07-24,162,13,175803,12168,63,89,164,是,格力地产股份有限公司2018年公开发行公司债券募集说明书_3297465707915934
国开证券股份有限公司,,2018-07-19,252,10,130694,6155,38,52,82,是,国开证券股份有限公司公开发行2018年公司债券募集说明书（面向合格投资）_3293310519112359
际华集团股份有限公司,,2018-07-18,92,5,150719,8418,39,62,101,是,际华集团公开发行2018年公司债券募集说明书（面向合格投资者）（第一期）_601718_20180718_2
威帝公司,威帝股份,2018-07-18,100,9,175706,5175,28,41,58,是,威帝股份公开发行可转换公司债券募集说明书_603023_20180718_5
定远县城市建设投资有限公司,,2018-07-12,62,3,81170,3827,27,29,54,是,2018年第一期定远县城市建设投资有限公司公司债券募集说明书_3287164461394124
公司,海澜之家,2018-07-11,136,8,222871,4948,31,36,69,是,海澜之家公开发行可转换公司债券募集说明书_600398_20180711_4
湖北省交通投资集团有限公司,,2018-07-11,42,3,106767,2808,18,22,38,是,2018年湖北省交通投资集团有限公司公司债券募集说明书_3286306089656045
安井食品 股票代码公司,安井食品,2018-07-10,149,15,224509,7371,41,54,99,是,安井食品：公开发行可转换公司债券募集说明书_603345_20180710_6
景旺电子 股票代码公司,景旺电子,2018-07-04,110,8,202893,6403,41,54,88,是,景旺电子：公开发行可转换公司债券募集说明书_603228_20180704_2
公司,,2018-07-03,48,1,72182,2497,21,21,33,是,2018年中国铁路建设债券募集说明书（2018年7月更新版）_3280249343143997
陕西广电网络传媒（集团）股份有限公司,广电网络,2018-06-25,94,7,206234,4037,21,29,50,是,广电网络公开发行可转换公司债券募集说明书_600831_20180625_6
603027 千禾味业食品股份有限公司,千禾味业,2018-06-15,75,15,146958,4223,28,33,59,是,千禾味业公开发行A股可转换公司债券募集说明书_603027_20180615_10
重庆再升科技股份有限公司,再升科技,2018-06-14,144,6,248491,6418,38,47,71,是,再升科技公开发行可转换公司债券募集说明书_603601_20180614_4
宁波经济技术开发区控股有限公司,,2018-06-06,90,12,143218,5810,29,45,75,是,宁波经济技术开发区控股有限公司公开发行2018年公司债券募集说明书（面向合格投资者）_3255887816175396
公司,,2018-06-05,48,1,71973,2497,21,21,33,是,2018年中国铁路建设债券募集说明书（2018年5月更新版）_3256061702817820
安徽省高速地产集团有限公司,,2018-06-05,117,8,167810,8098,46,57,121,是,安徽省高速地产集团有限公司2018年公开发行公司债券募集说明书_3255105107538807
江苏新泉汽车饰件股份有限公司,新泉股份,2018-05-31,129,8,162916,6704,34,47,64,是,新泉股份：公开发行A股可转换公司债券募集说明书_603179_20180531_4
嘉兴市秀湖发展投资有限公司,,2018-05-24,0,0,93255,0,0,0,0,否,2018年嘉兴市秀湖发展投资有限公司公司债券募集说明书_3244649965823600
彭山发展控股有限责任公司,,2018-05-17,54,5,82140,3948,28,27,58,是,2018年第一期彭山发展控股有限责任公司养老产业专项债券募集说明书_3238058292314436
江海证券有限公司,,2018-05-10,215,8,120222,4649,28,38,61,是,江海证券有限公司2018年公开发行公司债券募集说明书_3232602234298811
哈尔滨市城市建设投资集团有限公司,,2018-05-09,45,7,126700,4406,28,33,55,是,2018年哈尔滨市城市建设投资集团有限公司公司债券募集说明书_3231132434320199
唐山金融控股集团股份有限公司,,2018-05-08,45,6,89385,3670,22,30,46,是,2018年唐山金融控股集团股份有限公司公司债券募集说明书（以此为准）_3231922388898963
泗阳县佳鼎实业有限公司,,2018-05-07,47,7,97950,4805,25,32,59,是,2018年第一期泗阳县佳鼎实业有限公司公司债券募集说明书_3231022187035295
重庆市万盛经济技术开发区开发投资集团有限公司,,2018-05-07,49,3,107728,3234,20,27,46,是,2018年第二期重庆市万盛经济技术开发区开发投资集团有限公司公司债券募集说明书_3231039428606857
唐山金融控股集团股份有限公司,,2018-05-07,45,6,89385,3670,22,30,46,是,2018年唐山金融控股集团股份有限公司公司债券募集说明书_3228518391616571
来安县城市基础设施开发有限公司,,2018-05-04,39,4,60120,2566,19,20,38,是,2018年来安县城市基础设施开发有限公司公司债券募集说明书_3227428933010833
都县振兴投资开发有限公司,,2018-04-27,60,1,83747,4953,37,38,68,是,2018年于都县振兴投资开发有限公司公司债券募集说明书_3221608696558121
广东省广业集团有限公司,,2018-04-27,107,7,153413,8099,51,54,102,是,2018年第一期广东省广业集团有限公司绿色公司债券募集说明书_3221353373017820
巢湖市城镇建设投资有限公司,,2018-04-26,64,4,96150,5020,40,43,71,是,2018年巢湖市城镇建设投资有限公司公司债券募集说明书_3218893943160122
武汉地铁集团有限公司,,2018-04-26,80,8,108872,5102,36,40,74,是,2018年第一期武汉地铁集团有限公司绿色债券募集说明书_3220523869357460
芜湖新马投资有限公司,,2018-04-26,84,2,129962,6106,35,48,77,是,2018年芜湖新马投资有限公司公司债券募集说明书_3220631555963278
公司,,2018-04-25,103,3,76301,3143,28,23,46,是,2018年第一期马鞍山经济技术开发区建设投资有限公司小微企业增信集合债券募集说明书_3219598789487121
威海市文登区城市资产经营有限公司,,2018-04-25,63,3,91357,3362,26,25,50,是,2018年第一期威海市文登区城市资产经营有限公司城市停车场建设专项债券募集说明书_3219926819014381
庐江县城市建设投资有限公司,,2018-04-25,66,3,89739,3775,26,31,49,是,2018年庐江县城市建设投资有限公司公司债券募集说明书_3218703212451373
绵阳安州投资控股集团有限公司,,2018-04-25,59,7,129571,3503,22,32,44,是,2018年第一期绵阳安州投资控股集团有限公司城市停车场建设专项债券募集说明书_3219815649332448
新凤凤鸣鸣集集团团股股份份有有限限公公司,新凤鸣,2018-04-24,124,3,187521,6582,35,49,78,是,新凤鸣公开发行可转换公司债券募集说明书_603225_20180424_7
芜湖宜居投资（集团）有限公司,,2018-04-24,77,2,126244,5538,32,38,72,是,2018年第一期芜湖宜居投资（集团）有限公司养老产业专项债券募集说明书_3219075320383606
安吉县城市建设投资集团有限公司,,2018-04-24,68,9,113809,4965,36,42,72,是,2018年第一期安吉县城市建设投资集团有限公司海绵城市绿色债券募集说明书_3218712041734495
扬州市城建国有资产控股（集团）有限责任公司,,2018-04-24,181,12,216346,9677,48,69,105,是,扬州市城建国有资产控股（集团）有限责任公司2018年面向合格投资者公开发行公司债券募集说明书_3218776932427940
厦门国贸集团股份有限公司,,2018-04-23,132,6,175805,5945,38,44,82,是,厦门国贸公开发行2018年可续期公司债券募集说明书（发行稿）_600755_20180423_5
鹏博士电信传媒集团股份有限公司,,2018-04-23,113,6,188926,5877,30,47,74,是,鹏博士2018年公开发行公司债券募集说明书（面向合格投资者）_600804_20180423_1
厦门国贸集团股份有限公司,,2018-04-23,132,6,175805,5945,38,44,82,是,厦门国贸集团股份有限公司公开发行2018年可续期公司债券募集说明书_3218762894212828
鹏博士电信传媒集团股份有限公司,,2018-04-23,113,6,188926,5877,30,47,74,是,鹏博士电信传媒集团股份有限公司2018年面向合格投资者公开发行公司债券募集说明书_3216350322820777
景德镇市国资运营投资控股集团有限责任公司,,2018-04-23,150,14,221229,7553,36,54,92,是,景德镇市国资运营投资控股集团有限责任公司2018年公开发行公司债券募集说明书_3216196054137122
韶山高新建设投资有限公司,,2018-04-20,43,8,78316,3547,24,29,51,是,2018年韶山高新建设投资有限公司公司债券募集说明书_3216406471156120
同济堂医药有限公司,,2018-04-20,102,10,188730,6083,35,47,86,是,1 同济堂医药有限公司2018年第一期公开发行债券募集说明书_3214787117876345
同济堂医药有限公司,,2018-04-20,102,10,188730,6083,35,47,86,是,1 同济堂医药有限公司2018年第一期公开发行债券募集说明书_3214792732798451
青岛西海岸发展（集团）有限公司,,2018-04-20,70,8,66224,3582,23,28,50,是,2018年青岛西海岸发展（集团）有限公司公司债券募集说明书_3215430065803014
区草堂科技产业基地发展有限公司,,2018-04-18,72,7,142585,0,0,0,0,否,2018年西安高新区草堂科技产业基地发展有限公司公司债券募集说明书_3213807902033834
龙源电力集团股份有限公司,,2018-04-16,85,6,136989,6350,35,52,85,是,2018年第一期龙源电力集团股份有限公司绿色债券募集说明书_3212737058717874
安徽军工集团控股有限公司,,2018-04-16,70,7,118564,3929,21,27,51,是,安徽军工集团控股有限公司2018年公开发行公司债券募集说明书_3210321522746442
福建天马科技集团股份有限公司,,2018-04-13,154,3,207934,8332,45,62,105,是,天马科技公开发行可转换公司债券募集说明书_603668_20180413_5
马鞍山郑蒲港新区建设投资有限公司,,2018-04-13,30,2,75416,2397,18,16,34,是,2018年第一期马鞍山郑蒲港新区建设投资有限公司公司债券募集说明书_3210146923516376
温岭市国有资产投资集团有限公司,,2018-04-13,65,2,93845,5456,39,43,72,是,2018年第一期温岭市国有资产投资集团有限公司公司债券募集说明书_3209515001403366
陕西金融控股集团有限公司,,2018-04-13,117,6,120592,5064,36,45,66,是,2018年陕西金融控股集团有限公司绿色债券募集说明书_3209395152118885
青岛鼎信通讯股份有限公司,鼎信通讯,2018-04-12,118,10,236650,7863,44,57,95,是,鼎信通讯公开发行可转换公司债券募集说明书_603421_20180412_6
建设投资开发有限公司,,2018-04-11,66,1,89232,4429,27,34,62,是,2018年第二期吉水县城市建设投资开发有限公司城市地下综合管廊建设专项债券募集说明书_3207787030779244
济宁市新城发展投资有限责任公司,,2018-04-11,64,2,78551,2898,22,20,43,是,2018年第一期济宁市新城发展投资有限责任公司公司债券募集说明书_3207570480487796
广东粤海控股集团有限公司,,2018-04-10,84,2,104461,5252,31,40,66,是,2018年第一期广东粤海控股集团有限公司城市停车场建设专项债券募集说明书_3202465085622104
歙县城市建设投资开发有限公司,,2018-04-09,40,2,92001,2773,18,23,40,是,2018年歙县城市建设投资开发有限公司公司债券募集说明书_3202559471495462
江苏洋口港建设发展集团有限公司,,2018-04-03,52,7,114560,4700,24,34,62,是,2018年第一期江苏洋口港建设发展集团有限公司公司债券募集说明书_3198030719798083
泸州市工业投资集团有限公司,,2018-04-03,92,10,141308,6045,51,47,89,是,2018年泸州市工业投资集团有限公司公司债券募集说明书_3201512139498793
重庆市万盛经济技术开发区开发投资集团有限公司,,2018-04-02,49,3,107570,3234,20,27,46,是,2018年第一期重庆市万盛经济技术开发区开发投资集团有限公司公司债券募集说明书_3198304852631910
临邑县城市开发投资有限公司,,2018-03-28,60,5,78960,3624,23,24,45,是,2018年第一期临邑县城市开发投资有限公司公司债券募集说明书募集说明书_3196464215574838
