公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,文档名称
杭州市钱江新城投资集团有限公司,,2018-03-19,146,14,199260,5993,65,2018年杭州市钱江新城投资集团有限公司城市停车场建设专项债券募集说明书_3188679623670005
贵阳白云工业发展投资有限公司,,2018-03-19,59,9,109534,2640,28,2018年第一期贵阳白云工业发展投资有限公司公司债券募集说明书_3185332107623514
hanghai Puta公司,,2018-03-15,24,0,798038,0,0,璞泰来公开发行2018年创新创业公司债券募集说明书（面向合格投资者）_603659_20180315_5
上海璞泰来新能源科技股份有限公司,,2018-03-15,24,0,798038,0,0,上海璞泰来新能源科技股份有限公司公开发行2018年创新创业公司债券募集说明书_3184294245875943
上海临港经济发展（集团）有限公司,,2018-03-14,170,18,380442,8598,84,上海临港经济发展（集团）有限公司公开发行2018年绿色公司债券募集说明书_3183558869025318
上海临港经济发展（集团）有限公司,,2018-03-14,170,18,380442,8598,84,上海临港经济发展（集团）有限公司公开发行2018年绿色公司债券募集说明书_3183562150147330
盐城市城南新区开发建设投资有限公司,,2018-03-14,120,6,279364,4542,48,2018年第一期盐城市城南新区开发建设投资有限公司绿色债券募集说明书_3183497476883307
淮南市城市建设投资有限责任公司,,2018-03-13,112,8,169354,4880,56,2018年第一期淮南市城市建设投资有限责任公司公司债券募集说明书_3182749260395933
京山县京诚投资开发有限公司,,2018-03-12,63,5,92180,2272,27,2018年京山县京诚投资开发有限公司公司债券募集说明书_3179126315780233
武汉商贸国有控股集团有限公司,,2018-03-09,117,8,150980,5664,58,武汉商贸国有控股集团有限公司公开发行2018年公司债券募集说明书（以此版本为准）_3180010474060407
武汉商贸国有控股集团有限公司,,2018-03-08,117,8,150980,5664,58,武汉商贸国有控股集团有限公司公开发行2018年公司债券募集说明书_3179266279965146
绿城房地产集团有限公司,,2018-03-07,256,26,457164,10978,125,绿城房地产集团有限公司公开发行2018年公司债券募集说明书_3178304581230121
绿城房地产集团有限公司,,2018-03-07,256,26,457164,10978,125,绿城房地产集团有限公司公开发行2018年公司债券募集说明书_3178295939466447
嘉禾铸都发展集团有限公司,,2018-03-07,82,14,257088,3338,41,2018年第一期嘉禾铸都发展集团有限公司公司债券募集说明书_3177532930688781
