日新能源科技股份有限公司,,,,0,0,305,0,0,0,0,否,17拓日债：《深圳市拓日新能源科技股份有限公司2017年面向合格投资者公开发行公司债券募集说明书》更正公告_788c12cd-4e0a-46bf-b9e9-b0f70a98c8b3.txt
日新能源科技股份有限公司,,,,104,4,167572,7594,40,47,103,是,17拓日债：深圳市拓日新能源科技股份有限公司2017年面向合格投资者公开发行公司债券募集说明书（更新后）_e0bbbd67-7a4f-4e3c-a40f-9c0328eba786.txt
日新能源科技股份有限公司,,,,104,4,167572,7594,40,47,103,是,17拓日债：深圳市拓日新能源科技股份有限公司2017年面向合格投资者公开发行公司债券募集说明书（已取消）_5535b7e4-2631-468c-b812-606738aa7649.txt
深圳市拓日新能源科技股份有限公司,,,,0,0,305,0,0,0,0,否,拓日新能：《深圳市拓日新能源科技股份有限公司2017年面向合格投资者公开发行公司债券募集说明书》更正公告_1acb2ebd-88a8-4e91-a016-7fcc86720c9c.txt
湖北宜化化工股份有限公司,,,,92,7,173154,7453,32,59,94,是,湖北宜化：公开发行2016年公司债券募集说明书_2b5693fd-e992-47f7-aa3d-49655a94e38c.txt
深圳市洪涛装饰股份有限公司,洪涛股份,,,84,9,160409,4208,21,34,55,是,洪涛股份：公开发行可转换公司债券募集说明书_5bbd44a0-ac67-4463-b71a-1f973d0cb9f2.txt
第一创业证券股份有限公司,,16一创03,,229,7,169739,8884,42,57,111,是,第一创业：2016年面向合格投资者公开发行公司债券募集说明书（第三期）_aab073fc-8fad-4e48-9867-2ee924239626.txt
广东国盛金控集团股份有限公司,国盛金控,,,106,7,143484,4896,25,30,70,是,国盛金控：2016年公开发行公司债券募集说明书（面向合格投资者）_f03cb07a-a062-4d4f-a279-760fda4b9341.txt
广东国盛金控集团股份有限公司,国盛金控,,,106,7,143469,4896,25,30,70,是,国盛金控：2016年公开发行公司债券募集说明书（面向合格投资者）_244953aa-3457-4d4e-b500-1b468c91b226.txt
第一创业证券股份有限公司,,16一创02,,230,7,169478,8884,42,57,111,是,第一创业：2016年面向合格投资者公开发行公司债券募集说明书（第二期）_40351868-fe69-4b6f-a0bd-aa77baff3ff6.txt
天顺风能 天顺风能（苏州）股份有限公司,天顺风能,,,73,9,111210,4775,26,35,62,是,天顺风能：公开发行2016年公司债券募集说明书_02662162-b7c5-465d-adbe-f7289569c571.txt
珠海港股份有限公司,,,,85,6,188579,4807,29,32,54,是,珠海港：2016年面向合格投资者公开发行公司债券募集说明书_f024e6c3-74ae-43f8-a5a8-d0b0b666dfad.txt
海印股份 股票代码公司,海印股份,,,143,12,212387,7489,48,56,85,是,海印股份：公开发行可转换公司债券募集说明书_34cd5dd0-43c4-4b70-8682-2881380df2ae.txt
深圳市海普瑞药业股份有限公司,,,,94,4,154550,4129,26,35,60,是,海普瑞：2016年面向合格投资者公开发行公司债券募集说明书_8d7bf047-4c62-4dad-9368-dd74cd061743.txt
深圳市裕同包装科技股份有限公司,,,,95,12,212262,5901,34,44,78,是,16裕同01：2016年面向合格投资者公开发行公司债券募集说明书（第一期）_eb6f08eb-9e71-4a02-adfe-056e60339bf7.txt
格林美股份有限公司,,,,84,6,147103,5941,35,39,71,是,格林美：2016年格林美股份有限公司绿色公司债券募集说明书_7dc8d3dd-b441-4c14-b738-a7760bb112aa.txt
北京安控科技股份有限公司,安控科技,,,106,20,146890,4720,23,35,52,是,安控科技：2016年面向合格投资者公开发行公司债券募集说明书_b3af0fc7-9873-4058-b758-aa255f796fb3.txt
江苏辉丰农化股份有限公司,,,,109,9,264263,5385,26,37,75,是,辉丰股份：公开发行可转换公司债券募集说明书_21e76043-6135-486d-8d20-b62359dc2309.txt
公司,,,,0,0,131251,0,0,0,0,否,顺发恒业：2016年面向合格投资者公开发行公司债券募集说明书_7f432c0e-0776-4ead-9ec3-f9734dff0450.txt
冀中能源股份有限公司,冀中能源,,,65,3,145999,4100,25,34,54,是,冀中能源：公开发行2016年公司债券募集说明书（面向合格投资者）（第二期）_678da99c-ec3a-498b-aa22-ed40348644b0.txt
天汽模 股票代码公司,天汽模,,,123,5,181852,10096,61,78,144,是,天汽模：公开发行可转换公司债券募集说明书_599fcbf6-a671-4501-99d5-e98284d13466.txt
河钢股份有限公司,,,,105,16,170220,9195,46,68,117,是,河钢股份：2016年面向合格投资者公开发行公司债券募集说明书（第二期）_a195124d-3ed6-4ee3-957a-3002a7393762.txt
河钢股份有限公司,,,,105,16,170861,9195,46,70,117,是,河钢股份：2016年面向合格投资者公开发行公司债券募集说明书（第一期）_0e40e6ac-dc74-41e4-8fc8-5798aef5f29f.txt
深圳市飞马国际供应链股份有限公司,飞马国际,,,119,10,136771,5674,28,42,75,是,飞马国际：2016年面向合格投资者公开发行公司债券募集说明书_63ac8b0e-f1a9-4009-821e-103aea8cbb48.txt
中房地产 股票代码：000736 中房地产股份有限公司,中房地产,,,81,4,168183,5899,30,48,73,是,中房地产：2016年面向合格投资者公开发行公司债券募集说明书_57dab077-354b-4d92-b713-96f253d03d83.txt
澳洋顺昌 股票代码公司,澳洋顺昌,,,144,11,214807,5702,35,40,83,是,澳洋顺昌：公开发行可转换公司债券募集说明书_dfa46ad2-eed2-4ae1-b6e4-49eb08f235d2.txt
中南文化 股票代码公司,中南文化,,,114,12,163880,6694,34,42,62,是,中南文化：2016年面向合格投资者公开发行公司债券募集说明书_22ab0e54-c0d8-496f-ad02-181089c796e2.txt
河南新野纺织股份有限公司,,,,93,3,135034,5775,33,43,78,是,新野纺织：2016年面向合格投资者公开发行公司债券募集说明书_88375e17-9241-4df8-b0dc-8e2ccf9f6ac5.txt
新华联公司,,16华联债,,103,8,167931,8816,43,65,116,是,新华联：2016年面向合格投资者公开发行公司债券募集说明书_0a5cb58f-7da4-471b-b661-94110d355866.txt
